iter	Passed	Remaining
0	1	174
1	3	159
2	4	149
3	5	137
4	7	137
5	8	135
6	10	135
7	11	134
8	13	132
9	14	130
10	16	129
11	17	128
12	18	126
13	20	125
14	21	123
15	23	122
16	24	120
17	26	119
18	27	117
19	29	116
20	30	114
21	31	112
22	33	111
23	34	109
24	36	108
25	37	107
26	39	105
27	40	104
28	42	103
29	43	101
30	44	100
31	46	98
32	47	97
33	49	95
34	51	94
35	52	94
36	54	93
37	56	92
38	58	91
39	60	90
40	61	88
41	62	85
42	63	84
43	64	82
44	66	81
45	67	79
46	69	78
47	70	76
48	72	75
49	73	73
50	74	72
51	76	70
52	77	68
53	79	67
54	80	65
55	81	64
56	83	62
57	84	61
58	85	59
59	87	58
60	88	56
61	90	55
62	91	53
63	93	52
64	94	51
65	96	49
66	97	48
67	98	46
68	100	45
69	101	43
70	103	42
71	104	40
72	106	39
73	107	37
74	108	36
75	110	34
76	111	33
77	113	31
78	114	30
79	115	28
80	117	27
81	118	26
82	120	24
83	121	23
84	123	21
85	125	20
86	126	18
87	128	17
88	129	15
89	130	14
90	132	13
91	133	11
92	135	10
93	136	8
94	137	7
95	139	5
96	140	4
97	142	2
98	143	1
99	144	0
