iter	Passed	Remaining
0	3	3538
1	6	3450
2	9	3304
3	13	3369
4	15	3157
5	18	2996
6	20	2879
7	22	2775
8	24	2715
9	28	2855
10	31	2836
11	33	2768
12	35	2730
13	37	2668
14	41	2697
15	42	2643
16	44	2586
17	46	2517
18	47	2455
19	49	2407
20	50	2368
21	52	2327
22	55	2363
23	57	2340
24	59	2321
25	61	2286
26	62	2251
27	63	2220
28	65	2195
29	67	2166
30	69	2169
31	71	2160
32	73	2147
33	74	2126
34	76	2103
35	77	2080
36	79	2061
37	80	2044
38	82	2035
39	84	2038
40	86	2027
41	88	2015
42	89	2000
43	91	1983
44	92	1967
45	94	1954
46	95	1942
47	98	1950
48	100	1944
49	101	1937
50	103	1924
51	104	1910
52	106	1899
53	107	1887
54	109	1877
55	111	1876
56	113	1875
57	115	1871
58	116	1864
59	118	1854
60	119	1844
61	121	1834
62	122	1823
63	124	1816
64	126	1823
65	128	1822
66	130	1818
67	132	1809
68	133	1804
69	135	1800
70	136	1792
71	138	1783
72	141	1793
73	143	1792
74	144	1786
75	146	1783
76	148	1775
77	149	1767
78	150	1760
79	152	1752
80	153	1746
81	155	1741
82	156	1726
83	157	1720
84	159	1713
85	160	1708
86	163	1714
87	165	1712
88	166	1706
89	168	1701
90	169	1696
91	171	1690
92	172	1684
93	174	1678
94	176	1676
95	178	1678
96	179	1675
97	181	1671
98	183	1669
99	186	1679
100	188	1674
101	189	1670
102	191	1664
103	192	1658
104	193	1653
105	195	1647
106	196	1642
107	198	1637
108	199	1634
109	201	1629
110	202	1624
111	204	1620
112	206	1620
113	208	1618
114	209	1613
115	211	1608
116	212	1601
117	213	1597
118	215	1594
119	216	1590
120	218	1587
121	220	1584
122	221	1579
123	223	1575
124	224	1570
125	225	1567
126	227	1560
127	228	1556
128	230	1554
129	231	1549
130	233	1549
131	235	1547
132	236	1543
133	238	1539
134	239	1537
135	241	1533
136	242	1529
137	244	1525
138	245	1523
139	247	1521
140	249	1519
141	250	1512
142	251	1509
143	253	1506
144	255	1505
145	256	1502
146	258	1499
147	259	1496
148	261	1494
149	263	1494
150	265	1491
151	266	1488
152	268	1484
153	269	1481
154	271	1479
155	273	1477
156	275	1477
157	277	1478
158	279	1476
159	280	1475
160	282	1469
161	283	1467
162	286	1470
163	287	1467
164	289	1464
165	292	1467
166	294	1468
167	295	1465
168	297	1462
169	298	1459
170	300	1455
171	301	1452
172	303	1448
173	305	1451
174	307	1450
175	309	1448
176	310	1444
177	312	1441
178	313	1438
179	315	1436
180	316	1433
181	318	1429
182	319	1427
183	321	1425
184	322	1422
185	324	1418
186	325	1417
187	328	1418
188	330	1416
189	331	1413
190	333	1410
191	334	1407
192	336	1405
193	337	1404
194	339	1401
195	341	1400
196	343	1399
197	344	1397
198	346	1394
199	348	1392
200	349	1390
201	351	1387
202	352	1385
203	354	1382
204	356	1382
205	358	1379
206	359	1377
207	361	1375
208	362	1372
209	364	1369
210	365	1367
211	367	1365
212	368	1362
213	372	1367
214	374	1367
215	376	1365
216	377	1363
217	380	1364
218	382	1364
219	385	1365
220	386	1363
221	388	1360
222	389	1357
223	391	1355
224	392	1353
225	394	1351
226	396	1348
227	397	1347
228	399	1346
229	401	1343
230	402	1340
231	404	1339
232	406	1337
233	407	1334
234	409	1331
235	410	1329
236	412	1328
237	414	1328
238	416	1326
239	417	1323
240	419	1320
241	420	1318
242	422	1315
243	423	1312
244	425	1311
245	428	1312
246	429	1310
247	431	1307
248	432	1305
249	434	1302
250	435	1299
251	436	1297
252	438	1294
253	439	1292
254	442	1291
255	443	1289
256	445	1287
257	446	1284
258	448	1282
259	450	1280
260	451	1278
261	452	1275
262	454	1273
263	456	1272
264	458	1271
265	459	1268
266	461	1266
267	462	1263
268	464	1261
269	465	1258
270	466	1256
271	468	1253
272	471	1254
273	472	1252
274	473	1249
275	475	1247
276	476	1244
277	478	1242
278	479	1239
279	481	1237
280	482	1234
281	484	1232
282	485	1230
283	486	1227
284	488	1225
285	489	1223
286	491	1221
287	493	1220
288	494	1217
289	496	1215
290	497	1213
291	499	1210
292	501	1209
293	502	1206
294	503	1204
295	505	1202
296	507	1201
297	508	1198
298	510	1196
299	511	1194
300	513	1191
301	515	1190
302	516	1188
303	518	1186
304	519	1184
305	521	1183
306	523	1181
307	524	1178
308	526	1176
309	527	1174
310	529	1172
311	530	1170
312	532	1167
313	533	1165
314	535	1164
315	537	1162
316	538	1160
317	539	1157
318	541	1155
319	542	1153
320	544	1151
321	545	1149
322	547	1146
323	548	1144
324	550	1143
325	552	1141
326	553	1139
327	555	1137
328	556	1135
329	558	1134
330	560	1133
331	562	1131
332	564	1131
333	566	1129
334	568	1127
335	569	1125
336	570	1123
337	572	1120
338	573	1118
339	575	1116
340	576	1114
341	578	1113
342	580	1111
343	581	1109
344	583	1107
345	584	1105
346	586	1102
347	587	1100
348	588	1098
349	590	1096
350	591	1094
351	593	1093
352	595	1091
353	596	1088
354	598	1086
355	599	1084
356	600	1082
357	602	1080
358	603	1078
359	605	1075
360	607	1074
361	608	1073
362	610	1070
363	611	1068
364	613	1066
365	614	1064
366	616	1062
367	617	1060
368	619	1058
369	620	1056
370	622	1055
371	624	1053
372	625	1051
373	627	1049
374	628	1047
375	630	1045
376	631	1043
377	632	1041
378	634	1039
379	635	1037
380	637	1035
381	639	1034
382	641	1033
383	643	1031
384	644	1029
385	646	1027
386	647	1025
387	649	1024
388	651	1022
389	652	1021
390	654	1019
391	656	1017
392	659	1018
393	661	1017
394	662	1015
395	664	1012
396	665	1010
397	667	1009
398	668	1007
399	670	1005
400	674	1007
401	676	1005
402	677	1003
403	679	1001
404	680	999
405	682	998
406	683	996
407	685	994
408	687	993
409	689	991
410	690	989
411	692	987
412	693	985
413	695	983
414	696	982
415	698	980
416	700	979
417	702	978
418	704	976
419	705	974
420	707	972
421	708	970
422	709	968
423	711	966
424	712	964
425	715	963
426	717	962
427	718	960
428	720	958
429	721	956
430	723	954
431	724	952
432	726	951
433	728	950
434	730	948
435	732	947
436	733	945
437	735	943
438	736	941
439	738	939
440	739	937
441	741	935
442	742	933
443	744	932
444	746	931
445	748	929
446	749	927
447	751	925
448	752	923
449	754	922
450	755	920
451	757	918
452	759	917
453	762	916
454	763	915
455	765	913
456	766	911
457	768	909
458	769	907
459	772	906
460	774	905
461	776	903
462	777	902
463	779	900
464	781	898
465	783	897
466	785	896
467	790	898
468	793	898
469	795	896
470	796	894
471	798	893
472	799	891
473	801	889
474	803	887
475	804	885
476	806	883
477	807	881
478	810	881
479	812	879
480	813	877
481	815	875
482	816	873
483	818	872
484	819	870
485	821	868
486	822	866
487	824	865
488	826	863
489	827	861
490	829	859
491	830	857
492	832	856
493	833	854
494	835	852
495	836	850
496	838	849
497	840	847
498	842	845
499	843	843
500	845	841
501	846	840
502	848	838
503	849	836
504	852	835
505	854	834
506	855	832
507	857	830
508	858	828
509	860	826
510	861	824
511	863	822
512	864	820
513	866	819
514	868	817
515	870	816
516	871	814
517	872	812
518	874	810
519	875	808
520	877	806
521	878	804
522	880	803
523	882	801
524	884	799
525	885	797
526	886	796
527	888	794
528	889	792
529	891	790
530	892	788
531	895	787
532	897	786
533	898	784
534	900	782
535	901	780
536	903	778
537	904	776
538	905	774
539	907	773
540	909	771
541	911	770
542	913	768
543	914	766
544	915	764
545	917	762
546	918	760
547	920	758
548	921	757
549	923	755
550	925	754
551	927	752
552	928	750
553	930	748
554	931	746
555	932	745
556	934	743
557	935	741
558	938	740
559	940	738
560	941	736
561	943	735
562	944	733
563	946	731
564	947	729
565	948	727
566	950	725
567	952	724
568	954	723
569	956	721
570	957	719
571	959	717
572	960	715
573	962	714
574	963	712
575	965	710
576	966	708
577	968	707
578	970	705
579	971	703
580	973	701
581	975	700
582	977	699
583	979	697
584	980	695
585	982	694
586	983	692
587	985	690
588	986	688
589	989	687
590	991	685
591	993	684
592	994	682
593	996	680
594	997	679
595	999	677
596	1000	675
597	1002	674
598	1005	672
599	1007	671
600	1008	669
601	1010	667
602	1011	665
603	1013	664
604	1014	662
605	1016	660
606	1018	659
607	1020	658
608	1022	656
609	1023	654
610	1024	652
611	1026	650
612	1028	649
613	1029	647
614	1031	645
615	1034	644
616	1036	643
617	1038	641
618	1039	639
619	1040	637
620	1042	636
621	1044	634
622	1045	632
623	1048	631
624	1050	630
625	1051	628
626	1053	626
627	1055	625
628	1057	623
629	1058	621
630	1061	620
631	1063	619
632	1065	617
633	1067	616
634	1068	614
635	1070	612
636	1073	611
637	1075	610
638	1077	608
639	1078	606
640	1080	605
641	1082	603
642	1083	601
643	1085	600
644	1086	598
645	1088	596
646	1091	595
647	1093	594
648	1095	592
649	1096	590
650	1098	588
651	1099	586
652	1101	585
653	1103	583
654	1105	582
655	1107	580
656	1108	578
657	1110	577
658	1111	575
659	1113	573
660	1114	571
661	1116	570
662	1118	568
663	1119	566
664	1121	564
665	1122	562
666	1124	561
667	1127	560
668	1129	558
669	1130	556
670	1134	556
671	1136	554
672	1138	553
673	1139	551
674	1141	549
675	1142	547
676	1143	545
677	1145	543
678	1146	542
679	1148	540
680	1150	538
681	1151	537
682	1154	535
683	1156	534
684	1158	532
685	1160	531
686	1161	529
687	1163	527
688	1164	525
689	1166	524
690	1168	522
691	1170	520
692	1171	519
693	1173	517
694	1174	515
695	1176	513
696	1177	512
697	1179	510
698	1180	508
699	1182	506
700	1184	505
701	1186	503
702	1187	501
703	1188	499
704	1190	498
705	1191	496
706	1193	494
707	1194	492
708	1198	491
709	1200	490
710	1202	488
711	1203	486
712	1205	485
713	1207	483
714	1209	482
715	1211	480
716	1213	478
717	1214	477
718	1216	475
719	1217	473
720	1219	471
721	1220	470
722	1222	468
723	1223	466
724	1225	464
725	1227	463
726	1229	461
727	1230	459
728	1232	458
729	1233	456
730	1234	454
731	1236	452
732	1237	450
